length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
29,2,32,7968,54,291,131,0
29,2,4775,14010,3540,291,1701,151
27,2,3675,11868,2867,271,1278,133
25,3,1634,19256,1071,401,1190,220
26,1,30,3614,58,130,190,0
27,2,3,8077,6,271,83,0
27,2,40,9950,63,271,102,0
26,2,872,9526,234,261,1417,142
26,1,0,3864,1,130,54,0
26,2,9,7277,16,261,86,0
26,1,0,3585,1,130,54,0
25,2,0,6981,1,251,54,0
29,3,2,20039,2,465,64,0
30,2,2,9973,2,301,71,0
27,4,10619,64603,4005,620,3257,2727
29,3,0,20329,1,465,62,0
30,2,4,9345,7,301,68,0
29,2,1,8029,2,291,66,0
29,2,5,9585,5,291,107,0
29,2,35,8277,50,291,207,0
30,1,1,4192,2,150,66,0
30,2,1,8804,2,301,66,0
27,3,4,15471,8,433,73,1
27,2,18,6288,34,271,125,2
27,2,45,6360,90,271,93,4
26,3,65,13666,108,417,114,65
27,2,2,6360,4,271,70,0
27,2,2,6318,4,271,66,0
27,4,12680,45986,21960,620,182,1118
27,3,4,15707,8,433,71,1
27,2,2,6258,4,271,66,0
27,2,17,6113,36,271,108,1
35,1,0,4723,1,175,70,0
35,3,23,25077,19,561,115,0
34,2,2,11199,1,341,74,0
35,1,0,4827,1,175,70,0
35,3,12,25798,16,561,89,0
35,3,1,24870,1,561,70,0
35,2,0,10899,1,351,70,0
35,3,917,25210,439,561,781,34
35,3,1,30051,1,561,70,0
23,4,505,26113,592,528,167,130
23,4,445,26630,480,528,129,27
23,2,16,6587,30,231,68,0
23,3,187,11990,252,369,209,1
23,1,0,3325,2,115,52,0
23,1,0,3492,2,115,52,0
23,3,4,11507,8,369,65,1
23,2,441,6992,285,231,707,18
23,2,5,4963,6,231,63,1
23,3,4,12342,8,369,63,1
16,3,46,10300,120,257,85,6
16,2,3,5761,6,161,57,0
15,2,179,3819,135,151,228,14
16,2,658,4486,1092,161,586,45
15,3,932,9426,1500,241,1010,222
16,3,67,9011,186,257,179,0
16,2,1735,5641,2367,161,1114,63
15,4,1981,20859,4104,344,271,515
16,2,564,4403,843,161,883,14
16,1,1,2961,3,80,46,0
25,2,31,5936,37,251,111,0
25,3,47,15567,60,401,79,1
25,2,6,6129,10,251,90,1
24,3,142,14752,150,385,97,21
25,3,33,14551,60,401,82,1
25,1,1,3616,2,125,56,0
25,2,3,6073,2,251,56,0
25,2,1,6251,2,251,56,0
24,2,647,6552,678,241,759,77
25,4,690,33711,514,574,156,44
30,2,2,8379,3,301,70,0
30,3,32,20028,48,481,110,29
30,2,85,9265,64,301,153,26
32,1,14,4780,17,160,108,0
30,2,67,8571,64,301,153,26
30,2,4,9342,6,301,72,0
31,1,0,4356,1,155,64,0
30,4,539,50644,344,689,381,161
30,3,19,21582,3,481,74,0
31,2,1,9249,2,311,66,0
26,3,62,25615,108,417,143,0
26,3,4412,22642,6291,417,580,91
26,2,38,6502,56,261,68,0
26,1,0,3481,1,130,52,0
26,2,4063,12233,3703,261,2470,189
25,2,1,7345,2,251,58,0
26,4,25972,95029,27975,597,1841,-1
26,2,7,7123,15,261,68,0
26,2,16,6748,30,261,75,0
26,2,38,6916,78,261,118,5
26,1,4,3413,6,130,75,0
26,1,9,3527,15,130,68,0
26,2,1,7337,2,261,58,0
26,2,10,6370,16,261,91,0
26,4,2442,43176,2744,597,227,68
26,4,1065,44020,571,597,1006,22
26,3,330,16336,252,417,595,8
26,2,11,6897,18,261,127,0
39,2,3,12815,4,391,94,0
39,3,157,44346,192,625,146,9
39,2,3,13205,4,391,90,0
39,2,9,12839,12,391,107,0
39,4,1800,71116,1920,896,166,101
39,3,185,30879,24,625,113,0
39,3,696,32443,534,625,196,73
39,3,7,30530,8,625,100,0
39,3,1497,32519,1408,625,299,115
18,3,2,8522,4,289,64,3
20,2,0,4456,1,201,42,0
21,2,8,5064,18,211,83,0
20,2,0,4700,2,201,47,0
20,1,0,3246,1,100,42,0
21,1,1,3020,2,105,47,0
20,2,0,4670,1,201,42,0
19,4,4315,24562,4776,436,1192,847
19,2,3,4225,7,191,61,0
21,1,6,3022,13,105,83,0
34,3,371,34560,352,545,241,69
35,2,11,13430,12,351,149,0
33,3,838,30850,356,529,1515,218
35,2,29,14493,32,351,168,0
35,2,6,12214,7,351,78,0
36,2,2,13869,2,361,78,0
36,1,1,5451,2,180,78,0
36,2,5,16906,6,361,108,0
34,2,0,14078,1,341,72,0
34,3,518,40094,198,545,207,5
29,3,44,28132,68,465,119,2
29,3,30,23321,43,465,138,0
29,1,1,4260,2,145,65,0
29,2,3,10148,4,291,76,0
29,1,0,4107,1,145,58,0
29,2,30,8867,48,291,118,0
29,1,9,4235,15,145,74,0
27,3,57,19193,84,433,385,51
29,1,1,4253,1,145,58,0
29,2,2,8734,4,291,74,0
29,3,276,27691,161,465,123,49
29,2,581,13809,219,291,1052,70
29,2,292,10770,224,291,158,6
29,2,8,8535,7,291,66,0
30,1,5,4475,9,150,71,0
30,1,3,4256,7,150,66,0
29,2,26,10184,32,291,152,0
29,2,1,9481,2,291,62,0
34,4,807,53695,900,781,135,294
35,3,46,26230,60,561,98,1
35,3,463,27599,450,561,110,15
34,4,837,57521,676,781,216,269
34,2,3,9901,4,341,86,0
35,3,51,26480,60,561,98,1
35,2,5,11003,4,351,79,0
35,4,1171,60679,1458,804,250,84
35,2,9,10536,12,351,96,4
35,2,44,10543,50,351,140,0
29,2,1,8051,2,291,64,0
31,1,5,4390,7,155,68,0
30,2,846,9821,799,301,209,396
29,2,55,8187,94,291,176,36
28,3,1483,21851,1632,449,308,583
29,3,17,20802,28,465,72,2
29,3,613,21101,658,465,182,182
29,2,14,8114,16,291,101,6
