length, lev_dist, lev_margin, lang_size, time
85, 1, 0, 5, 3.400733500s
73, 1, 0, 78, 2.032858833s
31, 1, 0, 7, 146.049542ms
26, 1, 0, 55, 89.156042ms
46, 2, 1, 46395, 1.116108250s
16, 1, 0, 95, 50.189958ms
29, 3, 1, 72055, 954.699625ms
93, 1, 0, 7, 3.379644792s
53, 3, 2, 1831132, 14.207746625s
14, 2, 0, 1285, 191.734625ms
30, 3, 1, 120759, 1.954785709s
29, 1, 0, 28, 228.662542ms
20, 1, 0, 13, 44.769334ms
69, 2, 1, 67463, 3.165047s
36, 2, 1, 2377, 487.794833ms
27, 2, 1, 18917, 1.249223334s
30, 2, 1, 53999, 1.775967250s
14, 1, 0, 111, 35.475083ms
8, 1, 0, 59, 13.388083ms
73, 2, 1, 59251, 3.398699s
8, 2, 1, 14929, 402.489209ms
42, 2, 0, 22, 1.050441042s
43, 2, 0, 2077, 1.282200875s
30, 1, 0, 8, 240.801833ms
14, 2, 1, 2787, 73.930417ms
41, 1, 0, 7, 401.366417ms
33, 1, 0, 47, 140.416375ms
19, 2, 1, 18452, 1.337511041s
78, 1, 0, 28, 2.020570916s
23, 1, 0, 47, 70.889958ms
72, 2, 1, 17668, 3.124994167s
39, 2, 1, 6549, 663.112667ms
80, 1, 0, 26, 1.976829541s
73, 1, 0, 4, 1.616582417s
17, 1, 0, 15, 41.152625ms
25, 2, 1, 20529, 626.177250ms
32, 2, 1, 29476, 624.689250ms
76, 1, 0, 4, 1.820440250s
33, 1, 0, 36, 239.876208ms
37, 1, 0, 26, 313.934625ms
53, 1, 0, 70, 745.095250ms
27, 2, 0, 240, 265.452500ms
46, 2, 1, 2868, 1.271096084s
26, 2, 1, 28347, 462.241083ms
36, 1, 0, 3, 268.568792ms
14, 1, 0, 8, 20.366458ms
23, 2, 1, 14589, 933.991250ms
38, 1, 0, 4, 283.023ms
15, 2, 1, 2252, 77.224625ms
17, 1, 0, 16, 44.928292ms
31, 1, 0, 2, 332.986375ms
43, 1, 0, 61, 472.569917ms
95, 3, 2, 57830719, 25.776675292s
49, 2, 1, 5456, 1.895216667s
33, 2, 1, 32191, 1.385721917s
41, 1, 0, 6, 368.437542ms
41, 2, 0, 231, 978.856500ms
21, 1, 0, 63, 49.906083ms
60, 1, 0, 58, 916.005958ms
15, 2, 1, 5070, 278.963916ms
74, 2, 0, 289, 5.018489292s
70, 2, 1, 60123, 3.178037667s
17, 1, 0, 59, 40.528833ms
51, 3, 1, 68503, 4.706108583s
28, 1, 0, 7, 125.117500ms
44, 1, 0, 11, 511.040583ms
24, 2, 0, 2660, 449.395ms
17, 2, 1, 17684, 1.148278209s
34, 1, 0, 4, 316.795959ms
35, 2, 1, 31956, 1.524964416s
27, 1, 0, 117, 127.818667ms
50, 2, 0, 1156, 1.806684s
37, 2, 1, 44278, 1.097566042s
35, 2, 0, 121, 784.134292ms
86, 2, 1, 89315, 6.008920958s
76, 1, 0, 20, 1.718719791s
36, 1, 0, 3, 200.352916ms
33, 1, 0, 2, 173.326500ms
43, 3, 2, 863387, 20.130144250s
66, 1, 0, 3, 1.569690166s
68, 2, 1, 57625, 3.839549042s
45, 2, 1, 52339, 1.132330375s
29, 1, 0, 11, 117.688750ms
56, 1, 0, 36, 757.977583ms
31, 2, 0, 1067, 602.727500ms
52, 1, 0, 15, 772.077209ms
33, 1, 0, 20, 143.947333ms
63, 2, 0, 841, 3.599403292s
67, 3, 2, 12696630, 17.949060041s
36, 1, 0, 27, 468.447542ms
55, 2, 1, 38678, 4.545649459s
35, 1, 0, 88, 264.059333ms
55, 2, 1, 33058, 3.185031042s
65, 3, 1, 248824, 25.316617958s
15, 2, 1, 8486, 292.385875ms
5, 1, 0, 35, 4.020916ms
49, 1, 0, 80, 462.271625ms
13, 1, 0, 15, 18.039791ms
63, 2, 0, 2914, 5.369692458s
39, 1, 0, 4, 469.472333ms
17, 3, 2, 2098301, 53.957553s
9, 2, 0, 3, 24.815958ms
9, 1, 0, 63, 16.790500ms
36, 1, 0, 3, 377.638875ms
75, 2, 0, 222, 7.375288708s
51, 2, 1, 27138, 2.260615958s
21, 1, 0, 69, 66.890416ms
12, 1, 0, 16, 16.134083ms
20, 2, 1, 15102, 1.472719416s
24, 2, 1, 19652, 1.793249041s
16, 2, 1, 12073, 180.351875ms
36, 3, 1, 54859, 1.818812500s
27, 1, 0, 8, 110.070625ms
55, 1, 0, 26, 753.669417ms
49, 1, 0, 56, 589.051958ms
42, 2, 1, 20691, 1.698113959s
57, 1, 0, 80, 812.301042ms
73, 1, 0, 15, 1.846504416s
33, 1, 0, 52, 363.349708ms
17, 1, 0, 66, 64.283875ms
31, 1, 0, 11, 163.494792ms
26, 1, 0, 63, 100.666833ms
8, 2, 1, 5195, 135.411500ms
65, 1, 0, 7, 1.369878542s
40, 2, 1, 4948, 1.415387916s
42, 1, 0, 37, 487.720209ms
20, 1, 0, 2, 61.195292ms
85, 1, 0, 3, 2.830888958s
54, 2, 1, 3676, 2.028431500s
17, 2, 1, 3972, 275.303500ms
10, 2, 0, 4095, 39.369750ms
27, 2, 1, 31012, 549.287083ms
56, 1, 0, 6, 936.858708ms
8, 1, 0, 47, 8.155917ms
23, 2, 1, 24794, 618.146584ms
41, 1, 0, 28, 284.117916ms
92, 1, 0, 38, 3.404029917s
59, 3, 2, 24778010, 48.326545042s
29, 1, 0, 7, 112.855083ms
41, 2, 1, 5128, 1.240998666s
8, 1, 0, 32, 8.605375ms
9, 1, 0, 90, 11.641458ms
16, 1, 0, 112, 170.710250ms
14, 2, 1, 163, 60.035417ms
40, 1, 0, 39, 288.717875ms
8, 2, 1, 3686, 72.728292ms
82, 1, 0, 14, 2.244279041s
67, 1, 0, 4, 1.683311209s
78, 1, 0, 20, 2.634252583s
27, 1, 0, 3, 107.567833ms
40, 2, 0, 1382, 1.202478834s
25, 1, 0, 14, 160.598375ms
35, 1, 0, 35, 419.119917ms
29, 1, 0, 75, 157.957834ms
42, 1, 0, 28, 609.072125ms
21, 2, 0, 4351, 558.118375ms
59, 1, 0, 49, 1.573917083s
17, 3, 2, 2240035, 10.139288958s
25, 2, 0, 146, 768.088875ms
70, 2, 1, 4222, 5.401670542s
89, 2, 1, 63703, 14.735556125s
8, 2, 1, 7244, 217.112416ms
44, 3, 2, 204177, 3.618110083s
28, 1, 0, 15, 107.206875ms
7, 1, 0, 11, 6.282875ms
18, 1, 0, 2, 34.396542ms
