length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
39,3,30017,174702,14391,625,29475,78
17,3,1920,13890,4096,273,214,0
23,2,313,5820,407,231,253,0
39,1,0,4494,1,195,80,0
22,2,56,4991,119,221,135,0
14,2,107,3418,328,141,411,14
16,1,22,674,68,80,233,0
35,2,38,7532,48,351,113,0
31,2,2120,11363,555,311,1740,82
30,1,22,4110,20,150,269,0
25,2,12934,29496,8901,251,3092,1214
34,1,14,4124,15,170,96,0
20,2,113,5739,271,201,318,0
12,2,2291,3618,1051,121,639,0
30,3,3198,38364,5040,481,187,0
25,2,11335,18211,13522,251,2139,3120
28,4,30040,169819,19998,643,15444,978
17,2,11764,16099,18034,171,4317,3988
18,2,7174,9777,8023,181,2962,2148
28,1,5,3496,8,140,90,0
21,1,17,1387,34,105,135,0
14,4,30262,46105,137593,321,2714,-1
27,1,4,3300,7,135,134,0
15,3,30057,41787,28969,241,10050,0
39,4,30088,195626,85662,896,12139,0
16,1,11,398,30,80,141,0
17,1,15,2755,46,85,152,0
28,3,30020,83550,45842,449,739,0
29,3,30025,55774,28383,465,3147,131
28,2,2684,8551,1647,281,1968,910
18,2,1185,8232,1299,181,231,0
13,1,1,282,1,65,28,0
36,1,214,4758,58,180,209,0
24,4,16117,50751,28561,551,104,10
21,4,3704,48576,1550,482,1101,0
37,4,30129,231823,102711,850,22664,0
17,2,1,1239,4,171,42,0
39,1,13,7288,13,195,92,0
11,4,30296,47882,343288,252,8542,0
15,2,66,2497,236,151,167,0
39,2,2,9304,3,391,86,0
32,2,4119,25118,3036,321,2830,975
14,3,8729,15458,14988,225,1897,0
30,3,30057,46008,65304,481,5472,0
14,2,17,1484,57,141,63,0
26,2,7048,10561,9109,261,2265,2462
35,1,23,1486,31,175,137,0
25,1,44,3472,58,125,187,0
39,3,2690,60620,2954,625,188,0
34,1,4,1606,5,170,88,0
21,4,30106,84741,90682,482,23420,-1
21,2,4640,11388,3081,211,1749,0
29,2,49,7176,82,291,176,0
15,1,21,453,58,75,164,0
30,2,1427,17223,561,301,1398,0
24,1,1,1210,1,120,50,0
22,4,30099,53728,49644,505,6513,-1
33,4,30020,90374,14360,758,3533,204
22,3,30038,45732,159954,353,5618,-1
19,1,25,782,68,95,266,0
37,3,30035,102710,17010,593,4731,53
21,2,1735,8634,2325,211,1511,0
12,1,1,173,4,60,48,0
37,2,859,7977,632,371,1015,15
14,3,30099,42288,135163,225,9819,0
35,1,53,4494,37,175,207,0
17,2,3206,5433,6575,171,1684,2435
35,4,30136,208976,100881,804,27431,-1
37,1,119,6857,119,185,637,0
33,4,30052,162398,21720,758,26371,1
12,1,5,127,21,60,73,0
21,1,6,1142,13,105,68,0
21,4,30659,90295,1054654,482,5336,-1
21,2,127,8490,280,211,213,2
39,4,23840,322474,25460,896,331,0
19,2,8627,17680,10236,191,3364,0
29,4,30128,202614,101111,666,59050,0
35,4,30104,168255,58827,804,29952,0
16,1,25,3631,60,80,209,0
18,1,1,574,4,90,46,0
39,1,74,3727,92,195,357,0
26,1,26,3361,46,130,165,0
36,1,26,1863,38,180,199,0
30,3,30235,87541,84531,481,6693,-1
31,4,30022,140663,65195,712,929,-1
18,2,74,4292,220,181,119,0
28,4,30031,148913,23123,643,59408,2683
37,4,30157,269034,61001,850,36329,-1
38,3,30417,102615,121728,609,5716,187
25,2,252,5967,398,251,249,0
30,3,30018,319242,5636,481,97421,14
34,2,311,13023,224,341,200,0
28,2,2623,14019,2069,281,1461,0
23,3,30071,56070,74472,369,516,-1
33,3,30070,58231,117063,529,517,0
24,2,2256,8835,2917,241,1245,0
39,1,12,3152,13,195,141,0
16,2,41,3006,133,161,92,0
39,1,15,4837,20,195,116,0
14,1,16,416,62,70,204,0
24,2,13400,25420,7702,241,2866,819
20,3,9431,31861,21952,321,250,0
15,3,22190,29942,22115,241,378,0
25,2,77,12155,157,251,159,0
14,3,17240,22163,16091,225,3893,231
14,1,25,455,59,70,169,0
12,1,0,252,2,60,31,0
13,2,132,1941,367,131,412,90
26,4,30011,115719,8456,597,3828,0
33,4,30102,216191,79307,758,7398,2
29,2,265,11108,386,291,247,0
15,3,5297,15176,9879,241,493,0
27,1,3,2046,5,135,75,0
11,1,0,114,1,55,22,0
25,4,1716,71448,837,574,374,161
19,3,30028,48163,31498,305,2528,714
19,3,1746,16105,3495,305,168,0
31,2,3282,18410,2265,311,1525,0
26,2,5277,8491,7555,261,1716,285
38,4,30232,173519,51473,873,26075,5498
19,2,1023,7119,1987,191,1239,0
17,2,1030,3180,2062,171,733,696
13,4,30289,43689,139393,298,2688,0
17,2,956,3805,1551,171,1097,0
29,3,30012,53572,28473,465,3146,115
28,2,1197,15120,1936,281,260,0
32,2,19795,32599,14335,321,2874,5074
34,4,30028,102807,21609,781,3456,160
13,4,32929,57551,2334925,298,6595,-1
31,4,30295,112047,107792,712,5021,0
12,2,3275,5333,7737,121,2434,852
14,2,2,2206,6,141,63,1
13,2,4653,8839,12862,131,2244,3075
37,3,30010,159305,5700,593,27027,3591
27,1,19,5193,38,135,195,0
26,1,146,2286,43,130,284,0
21,4,30618,61169,138949,482,13530,-1
23,2,2392,8906,2400,231,2120,1383
33,2,2629,30905,956,331,1295,0
38,2,5345,14948,4649,381,1896,1
25,1,17,1292,36,125,141,0
22,1,28,607,58,110,182,0
39,3,2733,62454,3295,625,236,0
28,3,224,18109,189,449,222,2
35,1,46,3958,63,175,219,0
16,1,24,263,63,80,181,0
31,2,41,22032,35,311,152,16
32,4,1,163450,1,735,72,0
26,1,34,1651,63,130,201,0
22,4,30596,64456,472525,505,7603,0
20,3,18420,30293,24066,321,2224,0
15,3,998,11821,1838,241,153,0
38,2,309,9392,308,381,292,0
33,3,0,89003,1,529,72,0
34,1,217,7934,71,170,374,0
31,1,2,1462,4,155,76,0
18,4,30321,60343,112269,413,2833,0
27,3,5913,30070,6320,433,377,0
33,4,11,109713,16,758,90,0
31,3,16023,63481,11104,497,3129,3
27,2,165,9183,147,271,146,0
30,3,30008,55899,9144,481,10249,3655
12,1,3,125,13,60,38,0
20,1,5,330,13,100,54,0
26,1,6,1767,11,130,123,0
29,3,30079,61285,77139,465,5303,0
36,4,30054,225779,14627,827,60427,4080
19,3,30047,50656,101601,305,3257,0
36,2,230,13507,151,361,228,0
32,3,0,16841,1,513,70,0
19,4,30342,57508,104746,436,12773,-1
37,2,9160,18594,6954,371,2397,1
26,2,12751,22120,7615,261,2547,3332
23,1,0,479,1,115,48,0
33,4,30597,166085,129668,758,41450,-1
12,4,30944,51689,1652498,275,9529,0
17,1,10,539,28,85,104,0
37,1,11,3038,13,185,98,0
19,3,5414,16676,9529,305,2237,0
21,3,16936,42955,12269,337,3154,45
17,2,2892,4754,4692,171,1596,1465
34,2,10634,35382,2556,341,2096,0
31,1,35,1084,63,155,211,0
21,2,6098,10508,10516,211,2374,1113
18,1,35,880,59,90,356,0
32,1,0,2256,1,160,66,0
31,1,0,4098,1,155,64,0
24,2,10877,22208,5700,241,2563,0
36,2,25820,40758,11410,361,3072,4641
15,3,30118,36952,146663,241,431,0
37,1,1,1607,1,185,76,0
19,3,2,11367,5,305,83,2
16,4,30214,50373,155854,367,2879,0
16,1,2,227,7,80,38,0
19,4,30272,59679,370166,436,4580,-1
15,3,5533,14400,3036,241,2389,2
17,1,30,1050,85,85,305,0
25,4,30297,264645,143977,574,88197,-1
24,1,33,3343,42,120,348,0
36,2,21627,31016,14128,361,3274,5387
28,1,9,5643,14,140,162,0
40,1,10,2478,15,200,174,0
37,2,19666,28948,8554,371,2521,1710
14,2,1343,4118,3934,141,788,0
14,2,755,5684,1856,141,1046,0
20,2,1330,3662,1770,201,788,336
29,3,30045,64709,26426,465,12098,0
30,3,30036,48081,62960,481,6278,0
29,3,30046,53699,28079,465,3146,116
21,3,30019,57294,11513,337,12425,136
12,3,30132,38724,134991,193,8186,0
29,2,9964,14922,8250,291,1978,3754
28,1,11,3858,20,140,99,0
31,3,30021,63965,16577,497,10555,4390
