lev distance,milliseconds,samples drawn,productions
1, 0, 10, 129
2, 3, 35, 373
2, 4, 5, 807
2, 0, 3, 94
1, 0, 4, 184
2, 0, 1, 60
1, 1, 7, 261
1, 4, 28, 193
1, 1, 8, 329
1, 0, 1, 85
1, 0, 1, 48
1, 0, 1, 60
1, 0, 1, 111
1, 0, 3, 154
2, 0, 27, 127
1, 1, 14, 113
1, 2, 20, 236
1, 0, 1, 64
1, 1, 2, 218
3, 9580, 66763, 17851
1, 0, 15, 123
1, 0, 1, 60
1, 0, 4, 231
1, 0, 4, 77
1, 0, 2, 69
2, 2273, 585, 590
1, 0, 7, 128
3, 8, 338, 118
1, 0, 1, 52
1, 1, 3, 287
1, 0, 3, 71
3, 146, 2860, 2387
1, 0, 3, 95
1, 0, 2, 95
3, 96, 687, 3438
3, 253, 2552, 2999
1, 0, 1, 42
1, 0, 1, 72
2, 68777, 10976, 3624
1, 1, 6, 148
1, 1, 8, 377
1, 2, 28, 307
2, 4, 53, 322
1, 0, 13, 147
1, 0, 4, 123
1, 10, 25, 249
1, 1, 11, 363
2, 3460, 1781, 1176
2, 8, 114, 322
1, 0, 10, 267
1, 0, 13, 129
2, 529, 1540, 1962
1, 0, 15, 128
1, 1, 19, 180
2, 518, 2383, 1610
1, 0, 5, 94
1, 0, 2, 76
1, 19, 23, 131
1, 1, 8, 103
1, 0, 1, 57
1, 0, 1, 68
1, 0, 7, 103
1, 1, 12, 72
3, 6, 104, 201
1, 0, 5, 166
2, 4, 32, 325
1, 1, 9, 187
1, 2, 5, 422
1, 0, 7, 147
2, 122, 406, 231
1, 1, 3, 74
2, 0, 1, 80
1, 5, 43, 303
1, 0, 9, 122
2, 5, 25, 858
1, 0, 4, 136
3, 3, 155, 169
1, 0, 3, 214
2, 12, 170, 1317
1, 1, 1, 119
1, 1, 12, 123
2, 0, 4, 188
2, 2911, 8796, 2896
1, 0, 3, 175
1, 0, 16, 156
1, 1, 6, 330
1, 0, 10, 157
1, 0, 2, 76
2, 0, 1, 60
1, 1, 8, 159
2, 0, 12, 208
1, 0, 6, 70
3, 12, 591, 378
2, 471, 2027, 1799
1, 0, 1, 72
2, 0, 1, 64
2, 6, 8, 1333
2, 10, 38, 1340
1, 0, 8, 145
1, 0, 6, 142
1, 0, 5, 105
2, 39390, 2095, 1077
1, 0, 3, 72
1, 0, 2, 146
1, 0, 1, 102
2, 65, 134, 4233
1, 0, 3, 226
1, 0, 1, 76
2, 5, 197, 279
2, 17, 221, 494
1, 0, 8, 157
1, 0, 3, 75
1, 0, 23, 134
3, 294, 656, 988
2, 1, 26, 142
1, 0, 2, 95
1, 0, 1, 72
1, 0, 1, 98
2, 5, 6, 1363
1, 0, 3, 82
2, 40, 242, 213
1, 0, 11, 140
2, 47, 630, 2134
2, 19, 183, 1397
1, 6, 21, 124
1, 0, 9, 350
1, 0, 4, 104
2, 4, 10, 886
1, 0, 1, 46
2, 26, 501, 1470
2, 146, 1834, 2432
1, 1, 16, 152
1, 0, 1, 48
1, 0, 1, 79
2, 3, 48, 434
1, 0, 1, 76
1, 0, 7, 134
3, 335, 225, 7835
1, 0, 2, 102
2, 0, 1, 66
1, 0, 3, 188
2, 4, 103, 984
1, 0, 2, 235
1, 0, 3, 147
1, 0, 1, 68
2, 3, 77, 104
1, 1, 8, 203
1, 0, 4, 144
1, 1, 4, 451
2, 5, 1, 1338
1, 0, 1, 63
2, 0, 14, 121
1, 1, 16, 132
1, 0, 3, 116
1, 0, 1, 42
2, 8, 127, 883
2, 1373, 1872, 1375
1, 0, 4, 105
1, 0, 1, 48
2, 2, 83, 237
1, 0, 1, 50
1, 0, 3, 174
1, 1, 11, 330
2, 2, 11, 552
1, 0, 1, 40
1, 9, 22, 136
1, 0, 5, 106
1, 0, 1, 168
1, 0, 7, 71
2, 9, 11, 1231
3, 369, 5934, 7859
3, 93408, 10158, 438
1, 0, 3, 76
3, 108, 656, 3737
1, 0, 7, 208
1, 0, 5, 132
1, 0, 6, 108
1, 0, 1, 72
1, 0, 5, 76
1, 0, 9, 143
1, 1, 18, 287
1, 1, 1, 107
1, 0, 6, 125
1, 0, 1, 58
2, 0, 1, 79
1, 0, 6, 128
1, 0, 4, 101
1, 0, 1, 60
1, 2, 1, 557
1, 0, 1, 48
2, 1385, 472, 206
1, 0, 8, 133
2, 639, 1055, 1254
1, 0, 4, 110
2, 9, 105, 192
1, 1, 7, 304
2, 2, 42, 434
1, 0, 7, 103
1, 0, 1, 48
1, 0, 1, 68
1, 0, 1, 56
1, 0, 4, 307
2, 0, 1, 74
1, 0, 5, 102
2, 7, 101, 145
1, 0, 4, 134
1, 33, 24, 143
2, 9, 25, 1340
2, 14, 230, 1767
1, 0, 3, 164
1, 0, 5, 114
1, 2, 16, 216
1, 52, 47, 192
2, 143, 1517, 3494
1, 0, 11, 98
1, 0, 5, 69
1, 0, 14, 133
2, 30, 318, 2755
2, 34, 659, 1759
1, 0, 3, 64
1, 0, 4, 102
2, 18, 481, 1117
2, 76, 989, 1653
2, 44, 615, 1793
1, 0, 2, 95
1, 0, 1, 66
1, 2, 22, 143
2, 5, 91, 145
1, 0, 7, 143
1, 2, 18, 122
1, 23, 23, 133
1, 2, 29, 363
1, 1, 2, 148
2, 13, 185, 2269
1, 0, 6, 70
1, 0, 5, 139
3, 207, 2338, 7631
1, 0, 2, 68
1, 0, 1, 259
2, 19, 103, 2166
1, 0, 4, 87
3, 0, 1, 84
1, 0, 4, 85
2, 0, 9, 71
1, 0, 1, 114
3, 6, 307, 135
2, 9, 63, 1560
1, 1, 28, 298
1, 1, 2, 421
1, 0, 2, 64
2, 3, 73, 149
3, 0, 1, 72
1, 0, 3, 154
1, 0, 2, 74
1, 0, 2, 83
1, 4, 21, 158
3, 6, 353, 326
2, 180, 1025, 1526
1, 0, 5, 127
1, 0, 2, 103
2, 0, 1, 60
1, 0, 1, 70
1, 0, 1, 183
1, 0, 2, 143
2, 0, 1, 64
1, 0, 1, 52
1, 0, 3, 119
1, 7, 19, 234
1, 0, 1, 56
1, 0, 4, 70
2, 6, 206, 169
1, 0, 1, 68
2, 0, 1, 72
1, 17, 22, 126
1, 0, 6, 177
3, 20, 536, 1992
1, 0, 1, 72
1, 0, 1, 124
1, 0, 1, 68
1, 0, 1, 44
1, 0, 3, 76
1, 28, 24, 156
1, 3, 34, 177
1, 2, 29, 184
1, 0, 5, 179
1, 1, 21, 225
1, 0, 1, 78
2, 0, 3, 97
1, 1, 17, 167
2, 1104, 1323, 1069
2, 1164, 1771, 1557
1, 0, 4, 81
1, 0, 2, 123
2, 572, 3678, 1518
3, 113, 1769, 450
1, 0, 3, 178
1, 1, 11, 185
1, 1, 12, 150
1, 0, 1, 50
2, 10, 87, 816
1, 4, 20, 143
2, 3, 20, 903
1, 1, 1, 284
1, 0, 1, 52
3, 435, 5567, 7402
1, 0, 2, 76
3, 2, 94, 338
2, 8237, 1518, 855
1, 1, 13, 169
2, 2, 47, 279
2, 9, 262, 865
1, 0, 7, 115
1, 0, 1, 80
3, 1, 45, 117
2, 16, 32, 1609
2, 9, 23, 1387
1, 0, 1, 52
1, 3, 17, 347
1, 0, 14, 113
1, 0, 1, 56
1, 0, 1, 76
1, 0, 5, 95
3, 98029, 42384, 3181
1, 0, 9, 86
3, 2918, 2313, 164
1, 0, 7, 155
2, 226, 1905, 1135
1, 0, 7, 128
1, 1, 5, 436
1, 0, 3, 198
1, 0, 3, 78
2, 1632, 2676, 1941
2, 1, 33, 282
1, 0, 3, 228
1, 5, 56, 389
2, 0, 1, 68
1, 0, 2, 89
1, 0, 5, 103
1, 1, 26, 163
2, 24, 296, 1822
2, 38479, 1067, 1088
2, 9, 222, 260
1, 0, 22, 292
3, 189, 3831, 10725
1, 0, 1, 72
2, 41, 412, 1775
1, 0, 1, 64
1, 0, 1, 50
1, 0, 17, 179
2, 0, 3, 226
2, 12, 204, 182
1, 0, 1, 44
1, 196, 25, 138
3, 624, 2031, 436
1, 0, 1, 52
1, 0, 6, 107
